Id,PredictedRevenue
2343,213203
6,826356
2603,126719
133,51171
2336,1365209
917,18659066
2765,3542258
122,337277509
2074,42844957
975,80397383
2907,52920578
264,7416730
937,290578
724,8691898
2812,17342780
478,1132043
2341,55877466
928,222404698
1764,2211260
523,5869314
448,112922291
216,45092912
531,9849977
1304,3815519
1347,4620486
2412,111126113
994,38492101
1633,3138492
2584,7188185
1862,701397893
2502,377098
1231,5728701
806,14034618
466,14469868
786,902734
2371,272645526
2866,5088637
916,1588766
1043,380071648
2959,3370672
486,26792418
909,2489827
166,1434952
2747,70386068
2719,1472197
105,106968
1447,3635302
2061,59226287
2267,121839693
1262,2729436
1486,11917805
2499,2563504
737,23641230
2240,20442509
1673,3014888
1878,34962608
2718,18415867
1998,14586095
1660,11137497
2596,36742351
2490,42000033
1256,153711
1703,628208
2864,25359723
159,35936942
2310,23759117
1894,2721734
2213,17382322
93,8083356
407,65386005
276,449891
2922,300617
1827,7281871
832,7900487
1102,80750
2985,191079558
1372,2916455
2430,15304207
2224,31928960
2729,2654151
1094,100983360
420,1400750
2616,7549002
2044,14573764
2353,11766412
690,265478450
2328,43170659
880,13629738
308,362100325
2969,32539728
1125,598184130
2311,3214196
46,1205824
2134,15117397
582,3682797
524,24066783
154,11949454
985,52940714
1502,27629537
518,30454237
2138,15668543
711,2274285
542,27008186
2983,84334
56,3531397
1629,11456039
2032,1324071
1993,4895067
1888,3807258
1637,254894
1971,3097246
754,25150310
272,61837417
2557,110911
906,32913642
2017,91121446
1096,221308631
2322,7912930
1647,44455470
688,10787077
507,35998588
1380,6813815
1471,2781912
615,29817481
315,694227696
2249,73665859
2283,41319254
693,70479326
1246,3134616
2379,7080776
457,5882457
2258,10582626
886,15448829
1088,39760169
2532,31385153
397,448836
289,41528367
2887,55259
1220,3428131
1038,31557855
666,1230682
1666,39741941
2274,17462500
1713,41930270
1983,166307151
1732,11576647
483,44805349
268,7333558
2591,31639
115,464140090
1897,57478782
2950,2323290
1634,69362146
1953,166535
594,2850033
2552,49108857
2625,20470403
1357,98594
1559,43508314
2458,822345
1619,164090
1831,93883711
1797,135453115
500,153456562
300,5240947
1276,13571489
2716,63816483
2201,160026872
2976,71086524
1787,579706
1541,1617952
2060,39477970
149,19702528
2630,2125892
1932,2416803
2570,21560234
1126,89712353
282,92795027
1516,120395368
741,6360150
2876,2293437
887,54324
189,341430564
1623,85936
2555,838710
89,25220829
188,297235
2282,10954014
955,1440906
2425,57586124
921,4268753
1223,597605609
2565,57352691
1421,841324
1191,1904360
64,29084885
25,4258199
2370,100361701
1577,28139684
1665,65945511
1465,4707161
742,537568
811,79799091
2786,86504
2315,475624
1602,118005630
2145,292011
1881,286882883
1936,64615619
2174,91135
358,210978213
779,56843778
2593,358518
2242,96711393
443,152592
2188,12205878
954,6685050
552,88673106
2832,7537725
1100,10250107
499,11130
1023,50385
1386,9627036
1051,79248933
729,8197050
2063,274189442
652,11702124
901,18428632
50,78823980
2386,16480696
1892,1369849
946,13554815
48,101916464
2680,55195217
1922,7217108
1053,25657960
628,21600783
1903,144621269
121,191117570
1373,515963
1143,44816178
1814,2804787
2580,40175661
468,25416844
2702,3989186
487,59022202
1063,1131703
718,4669576
1858,523139
2824,126018
1760,428670438
1298,4743766
1487,44022504
2870,21581151
2247,874975
267,38701696
107,44503052
1381,300501
2013,112131643
1910,5995748
2006,3107835
222,9642799
2330,2182912
1353,60429365
577,47170087
2131,58902018
1172,64781812
1164,4208289
1846,10078987
