Id,PredictedRevenue
2343,324278
6,413042
2603,116104
133,25380
2336,1111825
917,15639188
2765,1378443
122,350858560
2074,39824404
975,76253240
2907,50297464
264,5081616
937,1217822
724,7962381
2812,17328544
478,742684
2341,51098496
928,286877952
1764,1599283
523,5821847
448,100783184
216,36783952
531,11042312
1304,7950248
1347,41649
2412,132796008
994,35347264
1633,1656940
2584,12899876
1862,572410624
2502,297577
1231,1600372
806,12837483
466,10667400
786,843909
2371,201896592
2866,6141653
916,3636096
1043,389070144
2959,2080419
486,26134424
909,1881037
166,724895
2747,77198312
2719,1503726
105,271523
1447,4041673
2061,56351976
2267,134786944
1262,3362685
1486,9521265
2499,5541647
737,25077396
2240,37189452
1673,2537271
1878,37545956
2718,7945867
1998,10853320
1660,9736371
2596,30362524
2490,28272768
1256,39120
1703,558718
2864,24910068
159,33905260
2310,24809830
1894,1696374
2213,17945678
93,5764731
407,62503980
276,223259
2922,18121
1827,8262639
832,9588806
1102,72816
2985,241320784
1372,2618404
2430,12820330
2224,22277300
2729,2390194
1094,142003776
420,673105
2616,10695617
2044,27349542
2353,12250967
690,310966208
2328,42810672
880,13609998
308,317643072
2969,39366140
1125,690382592
2311,1151395
46,1124512
2134,18287936
582,7043408
524,27329308
154,7538084
985,50238784
1502,31447924
518,47628944
2138,14899895
711,1724094
542,24217090
2983,55473
56,4311877
1629,13830971
2032,1408381
1993,1100223
1888,3092366
1637,210862
1971,2072798
754,34331960
272,86564272
2557,135358
906,37470124
2017,110531288
1096,311273600
2322,6983906
1647,60335084
688,6827851
507,16903126
1380,8590007
1471,2799758
615,35493392
315,684132544
2249,60212076
2283,46977092
693,61095104
1246,5066649
2379,10212703
457,11620196
2258,13087234
886,14594658
1088,35308316
2532,31866784
397,1117565
289,34915604
2887,19145
1220,3051702
1038,38861604
666,1012132
1666,54588320
2274,13151243
1713,46594712
1983,128807552
1732,4510752
483,44113052
268,4252969
2591,70719
115,743747200
1897,58287348
2950,2741720
1634,65229820
1953,224671
594,8189719
2552,38913968
2625,24397812
1357,89502
1559,28361508
2458,670572
1619,277629
1831,121867208
1797,155402400
500,153693008
300,5889558
1276,14754984
2716,67890016
2201,247989152
2976,89115072
1787,2303005
1541,1269468
2060,29276202
149,25436428
2630,6868637
1932,2904646
2570,25475418
1126,111577664
282,112306808
1516,132631976
741,7139229
2876,1302795
887,35627
189,336748736
