id,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,runtime,status,tagline,title,revenue,release_year,release_month,release_day,release_dow,collection_name,has_collection,Mystery,Thriller,Western,Documentary,War,Horror,Foreign,Drama,Adventure,Science Fiction,Action,Romance,Animation,Crime,Comedy,TV Movie,Family,Fantasy,History,Music,num_companies,production_company_Warner Bros.,production_company_Universal Pictures,production_company_Paramount Pictures,production_company_Twentieth Century Fox Film Corporation,production_company_Columbia Pictures,production_company_New Line Cinema,production_company_Metro-Goldwyn-Mayer (MGM),production_company_Touchstone Pictures,production_company_Walt Disney Pictures,production_company_Columbia Pictures Corporation,production_company_Relativity Media,production_company_Canal+,production_company_TriStar Pictures,production_company_United Artists,production_company_Dune Entertainment,production_company_Miramax Films,production_company_Village Roadshow Pictures,production_company_BBC Films,production_company_StudioCanal,production_company_Regency Enterprises,production_company_Fox Searchlight Pictures,production_company_Working Title Films,production_company_Lionsgate,production_company_Amblin Entertainment,production_company_DreamWorks SKG,production_company_Dimension Films,production_company_Summit Entertainment,production_company_Film4,production_company_Morgan Creek Productions,production_company_Hollywood Pictures,num_countries,production_country_US,production_country_GB,production_country_FR,production_country_DE,production_country_CA,production_country_IN,production_country_JP,production_country_IT,production_country_RU,production_country_AU,production_country_CN,production_country_ES,production_country_HK,production_country_IE,production_country_MX,production_country_KR,production_country_SE,production_country_NZ,production_country_CZ,production_country_DK,production_country_NL,production_country_BE,production_country_BR,production_country_HU,production_country_ZA,num_languages,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,language_zh,language_hi,language_ar,language_pt,language_ko,language_cn,language_pl,language_th,language_hu,language_sv,language_ta,language_la,language_cs,language_he,language_el,language_da,language_fa,language_tr,language_ur,language_no,language_nl,language_sw,language_vi,num_Keywords,keyword_woman director,keyword_independent film,keyword_duringcreditsstinger,keyword_murder,keyword_based on novel,keyword_violence,keyword_sport,keyword_revenge,keyword_aftercreditsstinger,keyword_dystopia,keyword_sex,keyword_biography,keyword_sequel,keyword_nudity,keyword_friendship,keyword_suspense,keyword_police,keyword_female nudity,keyword_love,keyword_drug,keyword_detective,keyword_teenager,keyword_prison,keyword_3d,keyword_father son relationship,keyword_musical,keyword_high school,keyword_family,keyword_los angeles,keyword_wedding,num_cast,all_cast,cast_name_Bruce McGill,cast_name_Forest Whitaker,cast_name_Samuel L. Jackson,cast_name_Robert De Niro,cast_name_John Turturro,cast_name_Owen Wilson,cast_name_Morgan Freeman,cast_name_Jason Statham,cast_name_Liam Neeson,cast_name_Frank Welker,cast_name_Susan Sarandon,cast_name_Willem Dafoe,cast_name_John Goodman,cast_name_Mel Gibson,cast_name_Sylvester Stallone,cast_name_George Clooney,cast_name_Mark Wahlberg,cast_name_Christian Bale,cast_name_Julianne Moore,cast_name_Sigourney Weaver,cast_name_John Leguizamo,cast_name_William H. Macy,cast_name_Bruce Willis,cast_name_Nicolas Cage,cast_name_Colleen Camp,cast_name_Ed Harris,cast_name_John C. Reilly,cast_name_Kathy Bates,cast_name_Allison Janney,cast_name_Kevin Bacon,genders_0,genders_1,genders_2,cast_character_,cast_character_Himself,cast_character_Dancer,cast_character_Herself,cast_character_Additional Voices (voice),cast_character_Debutante,cast_character_Doctor,cast_character_Waitress,cast_character_Reporter,cast_character_Nurse,cast_character_Bartender,cast_character_Security Guard,cast_character_Nightclub Dancer,cast_character_Student,cast_character_Jack,jobs_Producer,jobs_Executive Producer,jobs_Director,jobs_Screenplay,jobs_Editor,jobs_Casting,jobs_Director of Photography,jobs_Original Music Composer,jobs_Art Direction,jobs_Production Design,jobs_Costume Design,jobs_Writer,jobs_Set Decoration,jobs_Makeup Artist,jobs_Sound Re-Recording Mixer,departments_Production,departments_Sound,departments_Art,departments_Crew,departments_Writing,departments_Costume & Make-Up,departments_Camera,departments_Directing,departments_Editing,departments_Visual Effects,departments_Lighting,departments_Actors,log_budget,log_popularity,_budget_runtime_ratio,_budget_popularity_ratio,_budget_year_ratio,_releaseYear_popularity_ratio,_releaseYear_popularity_ratio2,_year_to_log_budget,_year_to_log_popularity,has_homepage,isTaglineNA,isTitleDifferent,isMovieReleased,original_title_letter_count,original_title_word_count,title_word_count,overview_word_count,tagline_word_count,meanruntimeByYear,meanPopularityByYear,meanBudgetByYear
409,10000000,http://www.billandted.org/,tt0096928,en,Bill & Ted's Excellent Adventure,"In the small town of San Dimas, a few miles away from Los Angeles, there are two nearly brain dead teenage boys going by the names of Bill S, Preston ESQ. and Ted Theodore Logan, they have a dream together of starting their own rock and roll band called the ""Wyld Stallyns"". Unfortunately, they are still in high school and on the verge of failing out of their school as well, and if they do not pass their upcoming history report, they will be separated as a result of Ted's father sending him to military school. But, what Bill and Ted do not know is that they must stay together to save the future. So, a man from the future named Rufus came to help them pass their report. So, both Bill and Ted decided to gather up historical figures which they need for their report. They are hoping that this will help them pass their report so they can stay together.",15.109261,/b2yKJ1STPklVSRtso2Tg4TPXK7u.jpg,603676800000000000,90.0,Released,History is about to be rewritten by two guys who can't spell.,Bill & Ted's Excellent Adventure,40485039,1989,2,17,4,Bill & Ted's Most Excellent Collection,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Al Leong Alex Winter Amy Stock-Poynton Anne Machette Bernie Casey Clifford David Dan Shor Diane Franklin Frazier Bain George Carlin Hal Landon Jr. J. Patrick McNamara Jane Wiedlin Keanu Reeves Kimberley Kates Robert V. Barron Rod Loomis Steve Shepherd Terry Camilleri Tony Steedman Traci Dawn Davis William Robbins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,2,0,1,0,0,1,1,0,0,0,0,3,1,1,0,2,1,1,1,2,0,0,0,16.118095750958314,2.779394324007612,111111.11111111111,661845.7381866658,2.5277285502642615,131.64111732532783,0.007596410759175465,123.40167416375736,715.6235381282848,0,0,0,1,32,5,5,162.0,12.0,,,
761,6500000,,tt0427944,en,Thank You for Smoking,"The chief spokesperson and lobbyist Nick Naylor is the Vice-President of the Academy of Tobacco Studies. He is talented in speaking and spins argument to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-entitle the Mod Squad a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use a skull and crossed bones in the cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.",9.369527,/v8PKsbAGIvAhKbbRUjdQ3jgFD2S.jpg,1125878400000000000,92.0,Released,Tobacco lobbyist Nick Naylor is trying to SAVE YOUR ASH!,Thank You for Smoking,24793509,2005,9,5,0,No Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,Aaron Eckhart Aaron Lustig Adam Brody Aloma Wright Brian Palermo Bruce French Cameron Bright Catherine Reitman Christopher Buckley Connie Ray Courtney Taylor Burness Dana E. Glauberman Daniel Travis David Koechner David O. Sacks Dennis Miller Earl Billings Eva La Dare J.K. Simmons Jeff Witzke Joan Lunden Jordan Garrett Katie Holmes Kim Dickens Marc Scizak Maria Bello Marianne Muellerleile Mary Jo Smith Melora Hardin Michael Mantell Nancy O'Dell Rachel Thorp Renée Graham Richard Speight Jr. Rob Lowe Robert Duvall Robert Malina Roy Jenkins Sam Elliott Sean Patrick Murphy Spencer Garrett Terry James Timothy Dowling Todd Louiso William H. Macy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,74,7,31,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,8,1,1,1,1,1,1,0,1,1,0,1,2,4,23,28,6,21,2,7,10,5,7,2,1,0,15.687312888712007,2.3388714088578633,70652.17391304347,693738.3285196788,1.6169053675039335,213.9915921049163,0.004673080798004987,127.81028938631813,857.2510623741807,1,0,0,1,21,4,4,161.0,10.0,,,
1547,0,,tt2032557,en,The Reluctant Fundamentalist,"In New York, a Pakistani native finds that his American Dream has collapsed in the wake of the 9/11 terrorist attacks.",6.231928,/h8GW6hvvmzrKKZbdB59b6ome5ki.jpg,1363478400000000000,130.0,Released,Terror has two faces.,The Reluctant Fundamentalist,519535,2013,3,17,6,No Collection,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,Christopher Nicholas Smith Haluk Bilginer Kate Hudson Kiefer Sutherland Liev Schreiber Martin Donovan Meesah Shafi Nelsan Ellis Om Puri Riz Ahmed Shabana Azmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0.0,1.978505667288104,0.0,0.0,0.0,323.0140014454596,0.003095841033283656,inf,1017.4345382387388,1,0,0,1,28,3,3,21.0,4.0,,,
702,5000000,http://www.stayinyourroom.com/,tt3567288,en,The Visit,"The terrifying story of a brother and sister who are sent to their grandparents' remote Pennsylvania farm for a weeklong trip. Once the children discover that the elderly couple is involved in something deeply disturbing, they see their chances of getting back home are growing smaller every day.",15.021058,/32tNtTEQ1vIOLm1hEOSFkVwJT5D.jpg,1441843200000000000,94.0,Released,No one loves you like your grandparents.,The Visit,98450062,2015,9,10,3,No Collection,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,Benjamin Kanes Brian Gildea Celia Keenan-Bolger Dave Jia Deanna Dunagan Ed Oxenbould Erica Lynne Marszalek John Buscemi Jon Douglas Rainey Jorge Cordova Kathryn Hahn Ocean James Olivia DeJonge Patch Darragh Peter McRobbie Richard Barlow Sajida De Leon Samuel Stricklen Seamus Moroney Shawn Gonzalez Shelby Lackman Steve Annan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,1,1,0,1,1,1,1,1,0,0,7,0,3,7,2,2,1,1,1,2,0,0,15.424948670398354,2.773903981906448,53191.48936170213,332866.03380401037,1.231458847723956,134.14501162301616,0.00745461935483871,130.63252546615846,726.4130312885349,0,0,0,1,9,2,2,48.0,7.0,,,
1682,16000000,,tt0114885,en,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,819590400000000000,127.0,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,81452156,1995,12,22,4,No Collection,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Angela Bassett Dennis Haysbert Gregory Hines Lamont Johnson Lela Rochon Loretta Devine Michael Beach Mykelti Williamson Wesley Snipes Whitney Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,2,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,3,0,0,1,0,0,0,0,16.588099342704055,1.5809345230484193,125984.25196850394,4145620.087602135,4.0200752507836,516.9070046728912,0.0019345839598997492,120.26694311289262,1261.9118444912972,1,0,0,1,17,3,3,45.0,15.0,,,
649,0,,tt0036872,en,Going My Way,"Youthful Father Chuck O'Malley (Bing Crosby) led a colourful life of sports, song, and romance before joining the Roman Catholic clergy. After being appointed to a run-down New York parish , O'Malley's worldly knowledge helps him connect with a gang of boys looking for direction, eventually winning over the aging, conventional Parish priest (Barry Fitzgerald).",5.682778,/5DEhp5Z4HkQK95rx9lXXgmwp8fe.jpg,-808876800000000000,130.0,Released,"When the St. Louis Browns lost Bing, the Cardinal got a good singer!",Going My Way,16300000,1944,5,15,0,No Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,Adeline De Walt Reynolds Barry Fitzgerald Bing Crosby Carl 'Alfalfa' Switzer Carl 'Alfalfa' Switzer Eily Malyon Fortunio Bonanova Frank McHugh Gene Lockhart Gibson Gowland James Brown Jean Heather Porter Hall Risë Stevens William Frawley William Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,2,0,1,0,1,1,0,1,3,3,3,3,2,1,1,1,0,0,0,0.0,1.899533769362788,0.0,0.0,0.0,342.08621206036906,0.0029232397119341564,inf,1023.4090234953435,1,0,0,1,12,3,3,55.0,13.0,,,
2135,160000000,https://www.uphe.com/movies/van-helsing,tt0338526,en,Van Helsing,Famed monster slayer Gabriel Van Helsing is dispatched to Transylvania to assist the last of the Valerious bloodline in defeating Count Dracula. Anna Valerious reveals that Dracula has formed an unholy alliance with Dr. Frankenstein's monster and is hell-bent on exacting a centuries-old curse on her family.,12.643312,/s2OPT5CZsZBQYAIlO9Mv4AimHvV.jpg,1083715200000000000,132.0,Released,The One Name They All Fear.,Van Helsing,300257475,2004,5,5,2,Van Helsing Collection,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Alun Armstrong David Wenham Elena Anaya Hugh Jackman Josie Maran Kate Beckinsale Kevin J. O'Connor Richard Roxburgh Robbie Coltrane Samuel West Shuler Hensley Silvia Colloca Stephen Fisher Tom Fisher Will Kemp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,11,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,3,1,1,4,1,2,1,2,1,0,13,20,19,30,1,16,5,2,9,13,2,0,18.8906843794481,2.6132494381897313,1212121.2121212122,12654911.94079526,39.84047872319234,158.50277205846064,0.006309037924151696,106.08403378864497,766.8613530395419,0,0,0,1,11,2,2,47.0,6.0,,,
770,16000000,,tt0098180,en,Red Scorpion,"A Russian KGB agent is sent to Africa to kill an anti-Communist black revolutionary. However, he has a change of heart when he sees how the Russians and their Cuban allies are killing and repressing the locals, so he switches sides and helps the rebels.",2.549325,/vAOaT9nyh1IMrXm0AkWgbbiSqad.jpg,598924800000000000,105.0,Released,They think they control him. Think again.,Red Scorpion,4192440,1988,12,24,5,No Collection,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Al White Alex Colon Brion James Carmen Argenziano Dolph Lundgren Greg Latter M. Emmet Walsh T. P. McKenna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,1,1,0,0,0,16.588099342704055,1.2667574445631917,152380.95238095237,6276171.143341864,4.04843548210794,779.8142645602267,0.0012823566398390343,119.84495383881229,1569.3612131764578,1,0,0,1,12,2,2,45.0,7.0,,,
992,0,,tt2611390,en,Difret,"Three hours outside of Addis Ababa, a bright 14-year-old girl is on her way home from school when men on horses swoop in and kidnap her. The brave Hirut grabs a rifle and tries to escape, but ends up shooting her would-be husband. In her village the practice of abduction into marriage is common and one of Ethiopia’s oldest traditions.  Meaza Ashenafi, an empowered and tenacious young lawyer, arrives from the city to represent Hirut and argue that she acted in self defense. Meaza boldly embarks on a collision course between enforcing civil authority and abiding by customary law, risking the ongoing work of her women’s legal aid practice to save Hirut’s life.",2.165608,/u4oKTAOTIzZEbnDvCFaxes6HcOu.jpg,1390089600000000000,96.0,Released,,Difret,49667,2014,1,19,6,No Collection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Brook Sheferaw Haregewine Assefa Mekonen Laeake Meron Getnet Tizita Hagere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,1,0,0,1,0,0,0,0,0.0,1.15234513825293,0.0,0.0,0.0,929.9928703625031,0.0010752770605759684,inf,1747.740267341627,1,0,0,1,6,1,1,113.0,,,,
804,15000000,,tt0070608,en,Robin Hood,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.",11.179855,/yMdpnj5fh4NP39B3YrXyLjpZUBt.jpg,121564800000000000,83.0,Released,Meet Robin Hood and his MERRY MENagerie!,Robin Hood,32056467,1973,11,8,3,No Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Andy Devine Barbara Luddy Billy Whitaker Brian Bedford Carole Shelley George Lindsey John Fiedler Ken Curtis Monica Evans Pat Buttram Peter Ustinov Phil Harris Roger Miller Sean Marshall Terry-Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,1,0,0,0,1,3,0,0,2,0,2,1,2,4,0,0,16.52356082573315,2.499783357448984,180722.89156626505,1341698.9755233857,3.8533378511578893,176.47813858050932,0.005666424227065383,119.40525536888676,789.2683956474677,1,0,0,1,10,2,2,41.0,7.0,,,
